"title","person","name"
"Using a KG-Copy Network for Non-Goal Oriented Dialogues","https://w3id.org/scholarlydata/person/md-rashad-al-hasan-rony","Md Rashad Al Hasan Rony"
"Predicting Missing Links Using PyKEEN","https://w3id.org/scholarlydata/person/mehdi-ali","Mehdi Ali"
"The KEEN Universe: An Ecosystem for Knowledge Graph Embeddings with a Focus on Reproducibility and Transferability","https://w3id.org/scholarlydata/person/mehdi-ali","Mehdi Ali"
"Entity Enabled Relation Linking","https://w3id.org/scholarlydata/person/mei-zhang","Mei Zhang"
"Practical and Scalable Pattern-based Ontology Engineering for Industry with Reasonable Ontology Templates (OTTR)","https://w3id.org/scholarlydata/person/melinda-hodkiewicz","Melinda Hodkiewicz"
"Ontology-enabled Analysis of Study Populations","https://w3id.org/scholarlydata/person/miao-qi","Miao Qi"
"Making Study Populations Visible through Knowledge Graphs","https://w3id.org/scholarlydata/person/miao-qi","Miao Qi"
"Demonstration of a Customizable Representation Model for Graph-Based Visualizations of Ontologies – GizMO","https://w3id.org/scholarlydata/person/michael-galkin","Michael Galkin"
"Non-Parametric Class Completeness Estimators for Collaborative Knowledge Graphs","https://w3id.org/scholarlydata/person/michael-luggen","Michael Luggen"
"Graph-KD: Exploring Relational Information for Knowledge Discovery","https://w3id.org/scholarlydata/person/michael-mikhailov","Michael Mikhailov"
"ASIA: a Tool for Assisted Semantic Interpretation and Annotation of Tabular Data","https://w3id.org/scholarlydata/person/michele-ciavotta","Michele Ciavotta"
"PoLyInfo RDF: A Semantically Reinforced Polymer Database for Materials Informatics","https://w3id.org/scholarlydata/person/mikiko-tanifuji","Mikiko Tanifuji"
"Visual Queries over Scholarly Data and other Linked Data Endpoints","https://w3id.org/scholarlydata/person/mikus-grasmanis","Mikus Grasmanis"
"Capturing Semantic and Syntactic Information for Link Prediction in Knowledge Graphs","https://w3id.org/scholarlydata/person/minghui-yan","Minghui Yan"
"Truthful Mechanisms for Multi Agent Self-Interested Correspondence Selection","https://w3id.org/scholarlydata/person/minming-li","Minming Li"
"TermIt: A Practical Vocabulary Manager","https://w3id.org/scholarlydata/person/miroslav-blasko","Miroslav Blaško"
"Bootstrapping the Publication of Streaming Linked Data","https://w3id.org/scholarlydata/person/mohamed-ragab","Mohamed Ragab"
"Incorporating Literals into Knowledge Graph Embeddings","https://w3id.org/scholarlydata/person/mohammad-asif-khan","Mohammad Asif Khan"
"FoodKG: Semantics-Driven Knowledge Graph for Food Recommendation","https://w3id.org/scholarlydata/person/mohammed-j-zaki","Mohammed J. Zaki"
"Product Classification Using Microdata Annotations","https://w3id.org/scholarlydata/person/monica-paramita","Monica Paramita"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/morten-kristiansen","Morten Kristiansen"
"TransEdge: Translating Relation-contextualized Embeddings for Knowledge Graphs","https://w3id.org/scholarlydata/person/muhao-chen","Muhao Chen"
"Truthful Mechanisms for Multi Agent Self-Interested Correspondence Selection","https://w3id.org/scholarlydata/person/nan-zhi","Nan Zhi"
"A Semi-Automatic Tool for Linked Data Integration","https://w3id.org/scholarlydata/person/nicolas-terpolilli","Nicolas Terpolilli"
"FoodKG Enabled Q&A Application","https://w3id.org/scholarlydata/person/nidhi-rastogi","Nidhi Rastogi"
"COPAAL -- An Interface for Explaining Facts using Corroborative Paths","https://w3id.org/scholarlydata/person/nikit-srivastava","Nikit Srivastava"
"Popularity-driven Ontology Ranking using Qualitative Features","https://w3id.org/scholarlydata/person/niklas-kolbe","Niklas Kolbe"
"Extending the YAGO2 Knowledge Graph with Precise Geospatial Knowledge","https://w3id.org/scholarlydata/person/nikolaos-karalis","Nikolaos Karalis"
"Making Study Populations Visible through Knowledge Graphs","https://w3id.org/scholarlydata/person/nkcheniyere-n-agu","Nkcheniyere N. Agu"
